,ghi,dhi,vsensor0,vsensor1,vsensor2,Panneaux_GHI,Intermediaire_GHI,Interrang_GHI
2023-07-03 00:00:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 00:15:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 00:30:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 00:45:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 01:00:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 01:15:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 01:30:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 01:45:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 02:00:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 02:15:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 02:30:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 02:45:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 03:00:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 03:15:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 03:30:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 03:45:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 04:00:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 04:15:00+02:00,0.6,0.8999999999999999,0.043809895833333334,0.2969776041666667,0.5416661458333333,0.0,0.2,0.5
2023-07-03 04:30:00+02:00,3.6,3.0461538461538464,0.2628609375,1.7818666666666667,3.249997395833333,0.0,2.1,3.4
2023-07-03 04:45:00+02:00,10.0,9.463414634146341,0.73016875,4.949629166666666,9.027769791666667,0.6,6.0,9.4
2023-07-03 05:00:00+02:00,20.4,19.676962025316456,1.4895447916666669,10.097243229166667,18.416649479166665,2.2,12.7,19.3
2023-07-03 05:15:00+02:00,35.9,34.89838472834068,2.6213072916666667,17.769168750000002,32.409694791666666,4.3,22.5,33.8
2023-07-03 05:30:00+02:00,52.1,50.966217616580316,3.804180729166667,25.787568229166666,47.0346828125,6.4,31.6,48.5
2023-07-03 05:45:00+02:00,71.8,70.5657698056801,5.2426140624999995,35.538337500000004,64.81938958333333,9.3,44.9,67.5
2023-07-03 06:00:00+02:00,93.7,92.46498567335243,6.841684375,46.37802864583333,84.59020104166666,12.0,56.8,87.6
2023-07-03 06:15:00+02:00,108.0,106.73560975609756,7.885826041666667,53.45599270833334,97.499903125,13.8,65.4,101.0
2023-07-03 06:30:00+02:00,134.0,132.65013560635413,15.0989828125,67.20545312500002,117.1815875,17.7,81.9,125.7
2023-07-03 06:45:00+02:00,166.3,164.8668205601724,15.359350520833335,82.44361093750001,147.16335885416666,22.1,102.8,156.5
2023-07-03 07:00:00+02:00,195.1,193.71993712339534,16.741902083333333,97.71174218750001,173.86473020833333,25.5,117.5,183.1
2023-07-03 07:15:00+02:00,195.0,193.5918694838192,16.412378125,97.785571875,175.2859354166667,25.0,115.2,182.3
2023-07-03 07:30:00+02:00,202.3,200.9334632372045,16.76936875,101.0639625,182.26989895833333,26.3,119.9,189.0
2023-07-03 07:45:00+02:00,282.5,277.7015912748078,22.020661458333336,143.2717322916667,253.74569895833332,38.6,177.3,267.7
2023-07-03 08:00:00+02:00,357.1,339.102519949601,29.99923333333333,190.18550729166668,318.3573088541667,45.6,215.3,339.8
2023-07-03 08:15:00+02:00,402.7,386.37500311837346,32.12381614583334,210.74157552083335,360.2744421875001,48.7,224.1,375.0
2023-07-03 08:30:00+02:00,388.8,387.0541996830428,28.615259375,193.65893229166667,350.6557786458333,47.8,218.7,363.3
2023-07-03 08:45:00+02:00,417.4,414.874987654321,30.73706197916667,208.0302791666667,376.4146010416667,50.7,229.9,387.9
2023-07-03 09:00:00+02:00,443.7,440.72765072765077,32.64370885416667,221.17327864583336,400.1194161458334,54.1,240.3,413.9
2023-07-03 09:15:00+02:00,511.5,460.78175026680896,40.72377864583333,284.78485781250004,453.58695989583333,54.5,232.0,481.7
2023-07-03 09:30:00+02:00,702.4,462.2141520548894,60.010484895833336,429.05639010416667,601.993115625,63.3,226.5,669.4
2023-07-03 09:45:00+02:00,634.7,534.1835603996367,50.56388958333334,306.222375,553.2083828125,63.9,275.6,608.2
2023-07-03 10:00:00+02:00,631.1,424.3121986573085,51.61769947916667,187.35384166666668,534.4793161458334,57.8,199.5,601.5
2023-07-03 10:15:00+02:00,814.1,395.1539405916877,47.068125,169.83045729166668,717.2483760416667,68.2,202.5,795.4
2023-07-03 10:30:00+02:00,929.5,410.0861064253949,47.84760677083333,171.26981406250002,830.9244791666667,72.4,229.6,881.3
2023-07-03 10:45:00+02:00,967.7,408.4641537514113,46.617257291666675,165.22463125000002,894.6722031250001,68.8,212.6,881.1
2023-07-03 11:00:00+02:00,604.3,393.8105422730422,43.89039375000001,153.7942489583333,529.1042963541666,58.1,211.5,590.7
2023-07-03 11:15:00+02:00,698.9,471.548838742765,51.33533697916667,177.64781354166666,601.1350312499999,62.1,258.0,717.4
2023-07-03 11:30:00+02:00,514.6,442.8587713605884,38.225992187500005,197.50998020833333,453.7658531250001,53.5,259.5,475.6
2023-07-03 11:45:00+02:00,485.9,455.80274584929754,35.78662604166667,216.07636614583336,433.6291473958333,51.3,250.1,454.3
2023-07-03 12:00:00+02:00,318.4,316.7380367065162,23.2669703125,156.2231541666667,286.9869552083333,42.1,187.5,294.1
2023-07-03 12:15:00+02:00,567.8,516.6100091157703,42.0185625,237.90006614583334,508.1625302083333,62.6,275.3,533.0
2023-07-03 12:30:00+02:00,487.9,454.8003173213699,35.95130572916667,213.00192656250002,432.8530630208334,56.9,239.1,465.7
2023-07-03 12:45:00+02:00,413.3,354.0464009518144,30.656442187499998,152.48041927083332,368.8461619791667,53.2,213.3,370.7
2023-07-03 13:00:00+02:00,821.5,434.9462882379685,45.69945052083334,144.91895052083333,745.9426880208333,58.4,191.5,798.5
2023-07-03 13:15:00+02:00,604.8,372.4309832437559,39.08618072916667,122.89777187499999,535.6561979166667,53.0,186.7,559.7
2023-07-03 13:30:00+02:00,389.0,341.1572392319668,28.77174635416667,149.2329197916667,347.11612083333335,42.1,146.6,356.9
2023-07-03 13:45:00+02:00,419.9,373.78580637599623,31.085661458333334,166.1227145833333,371.07857083333334,52.1,189.0,411.2
2023-07-03 14:00:00+02:00,743.7,312.06093407929944,33.225250520833335,103.0452890625,629.4518791666667,89.4,172.5,733.5
2023-07-03 14:15:00+02:00,775.5,317.69776052013725,33.82888333333334,104.87422968749999,689.41183125,58.5,171.7,758.5
2023-07-03 14:30:00+02:00,582.7,325.81826538768985,34.59781822916666,107.44148072916668,514.4694166666667,50.5,165.5,566.9
2023-07-03 14:45:00+02:00,331.8,282.8163594470046,24.626837500000004,119.90172864583334,298.0285489583333,36.6,117.5,361.7
2023-07-03 15:00:00+02:00,600.7,280.31632670625703,29.647559895833336,92.96769687500002,496.8129473958333,44.6,138.3,611.8
2023-07-03 15:15:00+02:00,511.1,273.748857881137,29.188693229166667,92.24647291666668,451.467959375,44.5,148.9,477.9
2023-07-03 15:30:00+02:00,764.3,250.47359141184123,26.97838020833333,86.07505937500001,748.3814875,53.7,136.5,745.7
2023-07-03 15:45:00+02:00,496.1,232.89458623356532,25.29073489583333,81.57505625,443.3118026041667,45.0,142.3,476.0
2023-07-03 16:00:00+02:00,198.9,191.9,14.626007812500003,92.62589635416667,179.34586979166667,30.3,116.9,182.5
2023-07-03 16:15:00+02:00,160.5,158.3065,11.750582812500001,77.6505828125,144.56463645833333,25.1,92.3,142.9
2023-07-03 16:30:00+02:00,202.3,189.60998431782542,14.937296354166667,89.94497864583334,180.9743640625,29.3,129.2,187.8
2023-07-03 16:45:00+02:00,255.5,214.5472902280812,19.205939583333333,94.404796875,230.72082968750001,35.4,166.8,293.1
2023-07-03 17:00:00+02:00,487.7,213.17044878156358,23.885984895833335,82.19958541666668,436.47314687499994,39.4,169.3,436.3
2023-07-03 17:15:00+02:00,454.9,163.98958834857967,18.808372916666666,65.54608177083334,419.76726822916675,38.3,128.9,396.8
2023-07-03 17:30:00+02:00,375.1,149.33071999999999,17.502581770833334,61.69529166666667,345.5069223958333,38.9,246.1,346.6
2023-07-03 17:45:00+02:00,310.0,112.11270062805302,13.4049734375,47.71428489583334,276.734225,51.5,296.5,300.3
2023-07-03 18:00:00+02:00,278.5,102.84186927062575,12.536606250000002,44.97211145833334,251.52840625000002,51.3,254.5,192.0
2023-07-03 18:15:00+02:00,204.3,88.6159305993691,11.054028125,39.88382812500001,181.81939895833335,39.1,189.5,170.7
2023-07-03 18:30:00+02:00,185.8,84.20982677165355,10.860980729166668,130.8417640625,163.32453072916667,110.9,162.0,157.7
2023-07-03 18:45:00+02:00,148.5,74.59245283018868,10.0208,106.762615625,130.7273192708333,134.8,125.9,126.9
2023-07-03 19:00:00+02:00,105.9,62.024293785310725,8.697536979166667,72.65295989583333,93.12282812500001,91.1,89.0,73.7
2023-07-03 19:15:00+02:00,44.2,32.33920335429769,4.376786458333333,28.638217708333336,37.667306770833335,51.9,59.7,25.2
2023-07-03 19:30:00+02:00,20.0,18.675213675213676,1.6203968749999997,10.763895833333335,17.836739583333337,11.4,19.2,16.3
2023-07-03 19:45:00+02:00,10.5,9.79372197309417,0.8752541666666666,5.6633328125,9.366735937500001,3.1,6.3,8.9
2023-07-03 20:00:00+02:00,2.3,1.9790697674418605,0.23199270833333335,1.3658848958333334,2.041674479166667,0.3,1.1,2.1
2023-07-03 20:15:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 20:30:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 20:45:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 21:00:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 21:15:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 21:30:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 21:45:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 22:00:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 22:15:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 22:30:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 22:45:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 23:00:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 23:15:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 23:30:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03 23:45:00+02:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
